event_name,event_date,event_status
"Wellness Summit",2026-04-26,Upcoming
"Leadership and Robotics Dialogue",2024-10-13,Completed
"Financial Literacy Seminar",2025-03-17,Completed
"Hospitality Congress",2024-05-18,Completed
"Financial Literacy and Teaching Excellence Summit",2025-07-03,Completed
"Entrepreneurship and Tourism Learning Session",2025-04-20,Completed
"Nursing Care Dialogue",2024-04-03,Completed
"Student Teacher Training Training",2023-07-02,Completed
"College Psychology Summit",2023-11-05,Completed
"Athletics Congress",2025-02-11,Completed
"Robotics Congress",2023-04-01,Completed
"Media Production and Arts and Culture Colloquium",2024-12-05,Completed
"Business Management Symposium",2023-11-08,Completed
"Community Cybersecurity Congress",2023-01-05,Completed
"College Arts and Culture Showcase",2023-02-26,Completed
"Future-Ready Public Speaking Expo",2024-07-12,Completed
"Nursing Care Series",2023-07-16,Completed
"Psychology Workshop",2023-08-19,Completed
"Sustainability and Student Government Bootcamp",2023-06-29,Completed
"Research and Arts and Culture Congress",2023-10-15,Completed
"Young Leaders Language and Literature Summit",2024-03-20,Completed
"Community Language and Literature Congress",2026-12-18,Upcoming
"Language and Literature Summit",2025-08-27,Completed
"Digital Literacy and Hospitality Forum",2024-09-18,Completed
"Applied Leadership Summit",2024-05-09,Completed
"Disaster Preparedness Orientation",2026-04-25,Upcoming
"Environmental Awareness Colloquium",2026-11-19,Upcoming
"Career Development Showcase",2024-01-15,Completed
"Mental Health Seminar",2026-01-06,Completed
"Tourism Seminar",2024-10-15,Completed
"Student STEM Expo",2025-04-06,Completed
"Annual Health Awareness Showcase",2024-03-14,Completed
"Campus Science Education Expo",2026-01-16,Completed
"Applied Volunteerism Colloquium",2023-03-04,Completed
"Student Government Colloquium",2025-03-27,Completed
"Creative Public Speaking Fair",2025-12-09,Completed
"Leadership Symposium",2024-01-04,Completed
"Research Showcase",2024-07-29,Completed
"Robotics Seminar",2024-12-22,Completed
"Language and Literature and Financial Literacy Series",2023-07-03,Completed
"Psychology and Student Government Showcase",2026-12-10,Upcoming
"Sustainability Learning Session",2023-03-11,Completed
"Future-Ready Robotics Bootcamp",2024-12-09,Completed
"Language and Literature and Mental Health Series",2024-09-07,Completed
"Interdepartmental Innovation Series",2026-05-26,Upcoming
"Faculty Public Speaking Bootcamp",2023-02-09,Completed
"Health Awareness and Data Analytics Dialogue",2025-03-18,Completed
"Business Management and Alumni Engagement Forum",2026-03-01,Completed
"Applied Mental Health Forum",2023-05-29,Completed
"Annual Debate Camp",2026-05-16,Upcoming
"Industry-Academe Community Outreach Dialogue",2023-05-25,Completed
"Inclusive STEM Forum",2024-12-18,Completed
"Faculty Nursing Care Fair",2025-11-02,Completed
"STEM Dialogue",2023-01-04,Completed
"Annual Environmental Awareness Orientation",2024-02-23,Completed
"Debate and Inclusive Education Seminar",2023-08-09,Completed
"College Disaster Preparedness Forum",2025-09-28,Completed
"Young Leaders Business Management Summit",2025-03-19,Completed
"Environmental Awareness and Research Showcase",2026-01-08,Completed
"Health Awareness and Psychology Seminar",2025-04-29,Completed
"Public Speaking and Student Government Fair",2023-02-18,Completed
"Annual Teacher Training Learning Session",2024-05-25,Completed
"Business Management and Student Government Orientation",2024-10-30,Completed
"Debate Summit",2024-06-28,Completed
"Psychology Workshop",2024-08-20,Completed
"Cybersecurity Showcase",2025-06-05,Completed
"Cybersecurity and Science Education Showcase",2025-05-28,Completed
"Alumni Engagement and Sustainability Workshop",2023-12-10,Completed
"Cybersecurity and Innovation Workshop",2024-10-01,Completed
"Research Training",2024-01-08,Completed
"University-Wide Campus Journalism Summit",2026-03-25,Completed
"Engineering Design Bootcamp",2024-11-02,Completed
"Alumni Engagement and Digital Literacy Conference",2024-11-25,Completed
"Language and Literature and Teacher Training Forum",2023-04-11,Completed
"Entrepreneurship Expo",2024-08-18,Completed
"Inclusive Teacher Training Fair",2026-04-26,Upcoming
"Annual Media Production Mentoring Day",2023-03-12,Completed
"Alumni Engagement and Language and Literature Orientation",2026-03-26,Completed
"Service Learning and Media Production Forum",2026-07-12,Upcoming
"Arts and Culture Fair",2023-05-04,Completed
"Athletics Fair",2024-03-03,Completed
"Hospitality Colloquium",2025-08-18,Completed
"Tourism and Academic Excellence Bootcamp",2024-03-20,Completed
"Community Business Management Showcase",2024-01-21,Completed
"Regional Volunteerism Mentoring Day",2024-10-09,Completed
"Young Leaders Data Analytics Symposium",2024-07-17,Completed
"Student Psychology Assembly",2025-08-14,Completed
"Alumni Engagement and Academic Excellence Fair",2024-10-31,Completed
"Inclusive Education and Research Colloquium",2023-01-19,Completed
"Business Management Seminar",2024-04-23,Completed
"Tourism and Debate Seminar",2026-09-26,Upcoming
"Regional Science Education Colloquium",2023-05-14,Completed
"Community Cybersecurity Symposium",2023-07-19,Completed
"Applied Leadership Learning Session",2026-07-14,Upcoming
"Inclusive Education and Service Learning Colloquium",2024-12-18,Completed
"Interdepartmental Research Symposium",2023-04-09,Completed
"Inclusive Robotics Learning Session",2025-12-16,Completed
"Media Production Seminar",2025-07-31,Completed
"Research and Business Management Colloquium",2025-09-11,Completed
"University-Wide Digital Literacy Fair",2026-04-21,Ongoing
"Teaching Excellence Bootcamp",2023-04-07,Completed
"Interdepartmental Teaching Excellence Assembly",2026-10-13,Upcoming
"Arts and Culture and Innovation Conference",2024-07-25,Completed
"Future-Ready Science Education Workshop",2023-04-08,Completed
"Student Government Training",2023-07-07,Completed
"Service Learning Congress",2024-07-11,Completed
"Entrepreneurship Forum",2024-05-09,Completed
"Student Government and Tourism Assembly",2025-06-21,Completed
"Alumni Engagement Symposium",2023-08-28,Completed
"Financial Literacy Congress",2024-12-28,Completed
"Inclusive Cybersecurity Expo",2026-12-18,Upcoming
"Media Production Camp",2023-09-23,Completed
"Cybersecurity and Research Seminar",2026-11-15,Upcoming
"Environmental Awareness Expo",2023-07-06,Completed
"Teaching Excellence Learning Session",2023-11-02,Completed
"Athletics and Student Government Dialogue",2025-04-24,Completed
"Data Analytics and Community Outreach Training",2024-04-14,Completed
"Financial Literacy Fair",2025-01-12,Completed
"Debate Mentoring Day",2024-10-17,Completed
"Leadership Training",2025-09-23,Completed
"Nursing Care and STEM Camp",2025-11-03,Completed
"Creative Hospitality Congress",2025-02-06,Completed
"Applied Entrepreneurship Bootcamp",2026-02-10,Completed
"Environmental Awareness Symposium",2025-09-22,Completed
"Cybersecurity Showcase",2023-06-22,Completed
"University-Wide Nursing Care Learning Session",2026-04-28,Upcoming
"Arts and Culture and Disaster Preparedness Orientation",2025-07-18,Completed
"Engineering Design and Nursing Care Symposium",2024-04-04,Completed
"Mental Health and Health Awareness Expo",2023-10-22,Completed
"Future-Ready Community Outreach Workshop",2026-02-22,Completed
"Mental Health Symposium",2026-07-28,Upcoming
"Faculty STEM Workshop",2025-03-20,Completed
"Interdepartmental Arts and Culture Orientation",2026-07-31,Upcoming
"Financial Literacy Orientation",2026-05-06,Upcoming
"Academic Excellence Workshop",2024-09-25,Completed
"Digital Literacy Congress",2026-02-03,Completed
"Teacher Training and Public Speaking Mentoring Day",2023-02-13,Completed
"Interdepartmental Teacher Training Seminar",2025-08-12,Completed
"Research and STEM Conference",2024-12-10,Completed
"Volunteerism and Teacher Training Conference",2023-11-13,Completed
"Leadership and Data Analytics Orientation",2024-01-24,Completed
"Hospitality Series",2024-05-23,Completed
"Hospitality and STEM Colloquium",2026-10-19,Upcoming
"Debate Workshop",2023-06-10,Completed
"Student Government and Business Management Summit",2024-06-04,Completed
"Inclusive Athletics Dialogue",2026-11-04,Upcoming
"Future-Ready Career Development Summit",2026-12-06,Upcoming
"Language and Literature and Environmental Awareness Camp",2026-06-26,Upcoming
"Student Government and Cybersecurity Summit",2026-04-13,Completed
"Psychology and Media Production Workshop",2024-08-25,Completed
"Entrepreneurship and Language and Literature Conference",2026-06-28,Upcoming
"Career Development Workshop",2025-09-12,Completed
"Volunteerism Conference",2024-11-10,Completed
"Community Outreach Colloquium",2025-02-13,Completed
"Wellness and Athletics Bootcamp",2025-11-09,Completed
"Engineering Design Congress",2025-06-25,Completed
"Future-Ready Wellness Congress",2026-05-22,Upcoming
"Young Leaders Environmental Awareness Expo",2023-05-22,Completed
"Teacher Training and Community Outreach Assembly",2024-10-06,Completed
"Regional Volunteerism Symposium",2026-10-29,Upcoming
"Service Learning and Leadership Camp",2023-04-23,Completed
"Research Fair",2025-09-20,Completed
"Cybersecurity Dialogue",2024-02-02,Completed
"Engineering Design and Robotics Seminar",2025-08-15,Completed
"Innovation Mentoring Day",2023-02-26,Completed
"Tourism and Entrepreneurship Forum",2023-11-23,Completed
"University-Wide Wellness Summit",2023-03-05,Completed
"Debate and Academic Excellence Summit",2026-06-17,Upcoming
"Research Dialogue",2025-06-22,Completed
"Media Production and Nursing Care Symposium",2026-04-21,Ongoing
"STEM Dialogue",2025-12-12,Completed
"Arts and Culture and Career Development Fair",2024-09-17,Completed
"Student Teacher Training Learning Session",2024-12-06,Completed
"Sustainability and STEM Fair",2025-05-28,Completed
"Volunteerism Showcase",2023-11-30,Completed
"Alumni Engagement Dialogue",2026-09-07,Upcoming
"Annual Entrepreneurship Colloquium",2023-01-11,Completed
"University-Wide Teaching Excellence Congress",2024-01-02,Completed
"Psychology and Disaster Preparedness Fair",2026-12-18,Upcoming
"Young Leaders Engineering Design Workshop",2026-03-18,Completed
"Career Development and Cybersecurity Camp",2024-02-02,Completed
"Volunteerism and Nursing Care Expo",2024-01-24,Completed
"Applied Public Speaking Symposium",2026-10-26,Upcoming
"Cybersecurity and Inclusive Education Fair",2023-05-19,Completed
"Financial Literacy Training",2024-03-02,Completed
"Hospitality Seminar",2026-07-18,Upcoming
"Business Management and Hospitality Dialogue",2026-04-27,Upcoming
"Innovation Summit",2025-05-06,Completed
"Research and Psychology Camp",2023-09-11,Completed
"Faculty Engineering Design Orientation",2023-12-16,Completed
"Arts and Culture Assembly",2023-08-23,Completed
"Teaching Excellence Conference",2025-09-02,Completed
"Data Analytics Dialogue",2023-10-12,Completed
"Creative Sustainability Expo",2026-05-26,Upcoming
"Leadership Learning Session",2025-09-16,Completed
"Athletics Forum",2025-06-01,Completed
"Financial Literacy Workshop",2024-08-05,Completed
"Business Management and Debate Mentoring Day",2023-08-24,Completed
"Language and Literature and Engineering Design Series",2025-04-24,Completed
"Research and Cybersecurity Workshop",2025-08-01,Completed
"Wellness Showcase",2026-07-17,Upcoming
"Tourism Showcase",2025-01-26,Completed
"University-Wide Inclusive Education Bootcamp",2026-01-31,Completed
"Industry-Academe Service Learning Symposium",2025-03-19,Completed
"Arts and Culture and Nursing Care Dialogue",2024-03-24,Completed
"Media Production Orientation",2025-11-11,Completed
"STEM Series",2023-03-26,Completed
"Campus Inclusive Education Summit",2025-08-28,Completed
"Psychology and Media Production Workshop",2026-06-20,Upcoming
"Community Outreach and Campus Journalism Series",2026-03-03,Completed
"Engineering Design and Teacher Training Congress",2024-11-17,Completed
"Arts and Culture Assembly",2026-05-01,Upcoming
"Psychology and Media Production Training",2024-06-27,Completed
"Teaching Excellence and Entrepreneurship Congress",2025-02-01,Completed
"Creative Career Development Showcase",2026-11-23,Upcoming
"Cybersecurity and Alumni Engagement Forum",2026-04-09,Completed
"Applied Student Government Showcase",2023-07-21,Completed
"Future-Ready Volunteerism Congress",2025-03-18,Completed
"Athletics and Psychology Fair",2025-06-28,Completed
"Environmental Awareness Expo",2023-08-06,Completed
"Environmental Awareness and Business Management Orientation",2025-04-06,Completed
"Faculty Public Speaking Conference",2025-10-15,Completed
"Athletics and Campus Journalism Learning Session",2023-11-28,Completed
"Industry-Academe Science Education Series",2024-09-16,Completed
"Alumni Engagement Forum",2026-02-13,Completed
"Regional Nursing Care Fair",2025-08-05,Completed
"Health Awareness and Public Speaking Series",2023-08-07,Completed
"Young Leaders Robotics Training",2026-05-02,Upcoming
"University-Wide Service Learning Training",2025-05-16,Completed
"Mental Health and Community Outreach Forum",2026-11-05,Upcoming
"Mental Health and Teaching Excellence Expo",2026-10-09,Upcoming
"Service Learning Dialogue",2023-08-25,Completed
"Media Production Orientation",2024-08-26,Completed
"Health Awareness and Campus Journalism Camp",2025-08-31,Completed
"Media Production and Entrepreneurship Conference",2025-05-01,Completed
"Future-Ready Volunteerism Mentoring Day",2023-07-10,Completed
"College Health Awareness Summit",2026-04-07,Completed
"Future-Ready Robotics Expo",2026-01-19,Completed
"Future-Ready Media Production Workshop",2023-04-10,Completed
"Public Speaking Learning Session",2024-07-31,Completed
"Faculty Volunteerism Orientation",2026-02-03,Completed
"Tourism Training",2025-04-29,Completed
"STEM and Career Development Assembly",2024-04-04,Completed
"Inclusive Education Bootcamp",2024-10-27,Completed
"STEM Summit",2024-11-29,Completed
"Inclusive Education and Leadership Learning Session",2023-02-18,Completed
"Arts and Culture and Academic Excellence Series",2023-01-21,Completed
"Health Awareness Dialogue",2025-12-01,Completed
"Data Analytics and Sustainability Fair",2023-07-15,Completed
"Cybersecurity and Business Management Summit",2023-09-07,Completed
"Industry-Academe Sustainability Conference",2026-11-27,Upcoming
"Digital Literacy Seminar",2024-07-26,Completed
"Community Sustainability Workshop",2024-10-09,Completed
"Future-Ready STEM Fair",2023-02-10,Completed
"Student Government Showcase",2024-05-22,Completed
"Academic Excellence Camp",2025-08-25,Completed
"Interdepartmental Inclusive Education Forum",2026-09-03,Upcoming
"Academic Excellence and Volunteerism Learning Session",2025-12-13,Completed
"Language and Literature and Digital Literacy Symposium",2026-12-30,Upcoming
"Language and Literature and Sustainability Symposium",2026-01-25,Completed
"Inclusive Career Development Expo",2024-09-30,Completed
"Disaster Preparedness and Robotics Symposium",2026-09-20,Upcoming
"College Environmental Awareness Forum",2026-12-25,Upcoming
"College Mental Health Conference",2025-01-12,Completed
"Young Leaders Arts and Culture Forum",2023-09-07,Completed
"Tourism and Engineering Design Workshop",2025-01-28,Completed
"Creative Cybersecurity Workshop",2025-07-05,Completed
"Industry-Academe Entrepreneurship Congress",2023-08-16,Completed
"Regional Teacher Training Mentoring Day",2024-01-21,Completed
"Psychology Dialogue",2023-04-20,Completed
"Student Environmental Awareness Series",2026-10-30,Upcoming
"Campus Public Speaking Conference",2025-09-16,Completed
"Annual Cybersecurity Training",2026-05-29,Upcoming
"Interdepartmental Teaching Excellence Orientation",2024-06-21,Completed
"Science Education and Nursing Care Mentoring Day",2026-03-29,Completed
"Future-Ready Alumni Engagement Dialogue",2025-08-25,Completed
"Media Production and Language and Literature Camp",2024-06-01,Completed
"Business Management Summit",2023-10-25,Completed
"Future-Ready Academic Excellence Congress",2025-11-21,Completed
"Creative Innovation Summit",2024-07-14,Completed
"Career Development Forum",2026-05-10,Upcoming
"Career Development and Teacher Training Training",2023-07-07,Completed
"Applied Student Government Seminar",2024-04-14,Completed
"Industry-Academe Leadership Assembly",2026-11-16,Upcoming
"Nursing Care and Career Development Training",2024-12-06,Completed
"Tourism and Disaster Preparedness Learning Session",2023-07-25,Completed
"Career Development Bootcamp",2026-01-30,Completed
"Interdepartmental Arts and Culture Mentoring Day",2024-10-29,Completed
"Debate Colloquium",2023-06-04,Completed
"Cybersecurity and Science Education Seminar",2026-03-04,Completed
"Public Speaking Series",2024-07-16,Completed
"Young Leaders Innovation Symposium",2026-11-09,Upcoming
"Faculty Robotics Series",2024-12-12,Completed
"Environmental Awareness and Cybersecurity Expo",2024-10-26,Completed
"Teacher Training and STEM Camp",2023-10-07,Completed
"Teaching Excellence Training",2026-07-02,Upcoming
"Debate Orientation",2024-10-07,Completed
"Annual Student Government Orientation",2026-10-07,Upcoming
"Future-Ready Research Colloquium",2025-12-18,Completed
"Career Development and Student Government Training",2024-02-14,Completed
"College Business Management Orientation",2024-03-17,Completed
"Inclusive Teaching Excellence Colloquium",2026-01-01,Completed
"Innovation Showcase",2026-06-29,Upcoming
"Student Government and Academic Excellence Workshop",2026-02-05,Completed
"Teacher Training and Academic Excellence Forum",2023-03-22,Completed
"Service Learning Workshop",2023-10-14,Completed
"Inclusive Sustainability Orientation",2024-08-30,Completed
"Creative Entrepreneurship Fair",2025-06-10,Completed
"Creative Innovation Dialogue",2023-12-20,Completed
"Campus Business Management Forum",2025-11-10,Completed
"College Hospitality Dialogue",2024-03-06,Completed
"Arts and Culture Assembly",2023-02-11,Completed
"Hospitality and Leadership Showcase",2025-05-31,Completed
"Debate and Innovation Fair",2026-09-03,Upcoming
"Campus Science Education Showcase",2026-07-24,Upcoming
"Student Government Seminar",2024-04-13,Completed
"Entrepreneurship and Psychology Mentoring Day",2025-10-29,Completed
"Teacher Training and Psychology Colloquium",2025-09-08,Completed
"Cybersecurity and Athletics Seminar",2025-07-13,Completed
"Language and Literature and Psychology Mentoring Day",2023-01-24,Completed
"Annual Data Analytics Forum",2026-03-08,Completed
"Leadership Colloquium",2026-04-13,Completed
"Community Outreach Forum",2025-11-24,Completed
"Leadership Fair",2026-03-11,Completed
"Student Data Analytics Summit",2025-12-11,Completed
"Young Leaders Tourism Expo",2023-07-05,Completed
"Volunteerism and Debate Seminar",2024-06-20,Completed
"Entrepreneurship Symposium",2023-11-26,Completed
"Industry-Academe Science Education Forum",2025-01-30,Completed
"Hospitality and Psychology Symposium",2026-05-15,Upcoming
"Applied Disaster Preparedness Learning Session",2024-11-05,Completed
"Environmental Awareness Conference",2026-03-08,Completed
"Entrepreneurship and STEM Assembly",2026-12-14,Upcoming
"Alumni Engagement and Career Development Series",2026-09-08,Upcoming
"Business Management and Volunteerism Mentoring Day",2024-07-14,Completed
"Hospitality and Campus Journalism Forum",2024-08-07,Completed
"Teacher Training and Entrepreneurship Showcase",2025-07-27,Completed
"Campus Journalism Training",2026-06-04,Upcoming
"Teacher Training Mentoring Day",2024-10-18,Completed
"Tourism and Academic Excellence Bootcamp",2025-04-18,Completed
"College STEM Learning Session",2023-10-28,Completed
"Community Leadership Showcase",2024-11-29,Completed
"Environmental Awareness and Data Analytics Congress",2024-04-14,Completed
"Volunteerism Congress",2025-12-24,Completed
"College Language and Literature Orientation",2025-03-04,Completed
"Financial Literacy and Career Development Bootcamp",2024-04-07,Completed
"Robotics and Nursing Care Colloquium",2023-01-25,Completed
"Inclusive Service Learning Series",2026-07-09,Upcoming
"Alumni Engagement and Entrepreneurship Learning Session",2024-06-01,Completed
"Regional Athletics Assembly",2025-06-28,Completed
"Business Management and Cybersecurity Workshop",2026-08-15,Upcoming
"Student Public Speaking Fair",2025-03-07,Completed
"Tourism and Arts and Culture Learning Session",2024-06-21,Completed
"Future-Ready Tourism Expo",2024-05-29,Completed
"Career Development and Engineering Design Series",2024-11-15,Completed
"Environmental Awareness and Leadership Conference",2024-09-25,Completed
"Digital Literacy and Inclusive Education Conference",2024-03-25,Completed
"Public Speaking Dialogue",2023-03-09,Completed
"Mental Health Camp",2023-07-03,Completed
"Cybersecurity and Wellness Colloquium",2023-11-24,Completed
"Disaster Preparedness and Teaching Excellence Workshop",2026-06-14,Upcoming
"Science Education Fair",2025-05-19,Completed
"Athletics Camp",2023-05-27,Completed
"Academic Excellence and Media Production Workshop",2025-02-05,Completed
"Mental Health and Teacher Training Assembly",2024-11-07,Completed
"Sustainability and Robotics Mentoring Day",2025-03-29,Completed
"Inclusive Education and Health Awareness Conference",2025-05-23,Completed
"Career Development Dialogue",2025-02-03,Completed
"Tourism and Inclusive Education Fair",2024-02-27,Completed
"Robotics Showcase",2023-11-06,Completed
"Inclusive Education and Alumni Engagement Assembly",2023-08-25,Completed
"University-Wide Environmental Awareness Fair",2023-01-14,Completed
"Career Development and Psychology Conference",2023-01-07,Completed
"Future-Ready Financial Literacy Dialogue",2025-09-02,Completed
"Science Education Bootcamp",2025-01-19,Completed
"Language and Literature Assembly",2023-04-27,Completed
"Career Development Showcase",2023-12-18,Completed
"Student Digital Literacy Assembly",2026-10-07,Upcoming
"Media Production Summit",2024-06-24,Completed
"Campus Nursing Care Seminar",2026-03-06,Completed
"Media Production and Language and Literature Camp",2024-06-01,Completed
"Service Learning Series",2026-12-31,Upcoming
"Innovation and Cybersecurity Dialogue",2026-05-18,Upcoming
"Annual Public Speaking Showcase",2026-03-01,Completed
"Data Analytics Series",2026-09-11,Upcoming
"Student Disaster Preparedness Expo",2023-06-08,Completed
"Student Campus Journalism Expo",2025-09-28,Completed
"Entrepreneurship and Psychology Camp",2026-09-28,Upcoming
"Research and Debate Mentoring Day",2025-04-12,Completed
"Community Outreach Summit",2024-05-02,Completed
"Financial Literacy Bootcamp",2026-03-18,Completed
"Robotics and Media Production Workshop",2026-07-26,Upcoming
"University-Wide Robotics Seminar",2026-10-22,Upcoming
"Debate Summit",2026-08-13,Upcoming
"Financial Literacy Learning Session",2024-12-25,Completed
"Psychology and Community Outreach Bootcamp",2026-04-29,Upcoming
"Regional STEM Series",2025-08-24,Completed
"Student Volunteerism Assembly",2023-09-20,Completed
"Nursing Care Dialogue",2023-11-25,Completed
"Inclusive Education and Community Outreach Series",2024-09-02,Completed
"Wellness Assembly",2024-11-30,Completed
"Psychology Symposium",2025-06-20,Completed
